date,open,high,low,close
2024-11-06,57600.0,58000.0,56300.0,57300.0
2024-11-07,56900.0,58100.0,56800.0,57500.0
2024-11-08,58000.0,58300.0,57000.0,57000.0
2024-11-11,56700.0,56800.0,55000.0,55000.0
2024-11-12,54600.0,54600.0,53000.0,53000.0
2024-11-13,52000.0,53000.0,50500.0,50600.0
2024-11-14,50200.0,51800.0,49900.0,49900.0
2024-11-15,50300.0,54200.0,50300.0,53500.0
2024-11-18,57000.0,57500.0,55900.0,56700.0
2024-11-19,56500.0,57500.0,55900.0,56300.0
2024-11-20,56100.0,56500.0,54800.0,55300.0
2024-11-21,54900.0,56900.0,54700.0,56400.0
2024-11-22,56000.0,56700.0,55900.0,56000.0
2024-11-25,57400.0,57900.0,56700.0,57900.0
2024-11-26,57900.0,58900.0,57500.0,58300.0
2024-11-27,57700.0,57800.0,56000.0,56300.0
2024-11-28,56000.0,56400.0,55200.0,55500.0
2024-11-29,55100.0,55300.0,53800.0,54200.0
2024-12-02,54300.0,54400.0,53100.0,53600.0
2024-12-03,53100.0,54400.0,53100.0,53600.0
2024-12-04,52000.0,53400.0,52000.0,53100.0
2024-12-05,53200.0,54400.0,53200.0,53700.0
2024-12-06,53900.0,54400.0,52700.0,54100.0
2024-12-09,53500.0,54600.0,53200.0,53400.0
2024-12-10,54500.0,54500.0,53700.0,54000.0
2024-12-11,53600.0,54200.0,53400.0,54000.0
2024-12-12,54000.0,56500.0,53900.0,55900.0
2024-12-13,55800.0,56300.0,55500.0,56100.0
2024-12-16,56300.0,56600.0,55200.0,55600.0
2024-12-17,54700.0,55200.0,54000.0,54200.0
2024-12-18,54100.0,55400.0,54000.0,54900.0
2024-12-19,53500.0,53800.0,53100.0,53100.0
2024-12-20,52700.0,53100.0,51900.0,53000.0
2024-12-23,53400.0,54000.0,53300.0,53500.0
2024-12-24,53700.0,54500.0,53600.0,54400.0
2024-12-26,54500.0,54600.0,53500.0,53600.0
2024-12-27,53500.0,54100.0,53200.0,53700.0
2024-12-30,53300.0,54000.0,53100.0,53200.0
2025-01-02,52700.0,53600.0,52300.0,53400.0
2025-01-03,52800.0,55100.0,52800.0,54400.0
2025-01-06,54400.0,56200.0,54300.0,55900.0
2025-01-07,56800.0,57300.0,55400.0,55400.0
2025-01-08,54800.0,57500.0,54700.0,57300.0
2025-01-09,57600.0,57700.0,56100.0,56100.0
2025-01-10,56100.0,56500.0,55200.0,55300.0
2025-01-13,54600.0,55000.0,54100.0,54100.0
2025-01-14,54200.0,54600.0,53700.0,53900.0
2025-01-15,54100.0,54700.0,53500.0,53700.0
2025-01-16,54200.0,55000.0,54100.0,54300.0
2025-01-17,53800.0,54100.0,53200.0,53700.0
2025-01-20,53600.0,53900.0,53300.0,53400.0
2025-01-21,53700.0,54300.0,53300.0,53500.0
2025-01-22,53400.0,54400.0,53100.0,54300.0
2025-01-23,53700.0,54100.0,53500.0,53700.0
2025-01-24,53600.0,53800.0,53200.0,53700.0
2025-01-31,52200.0,53000.0,51700.0,52400.0
2025-02-03,51100.0,51400.0,50800.0,51000.0
2025-02-04,51600.0,53600.0,51500.0,52700.0
2025-02-05,53600.0,53800.0,52800.0,52900.0
2025-02-06,53400.0,54000.0,53200.0,54000.0
2025-02-07,53900.0,54200.0,53600.0,53700.0
2025-02-10,53000.0,55900.0,52900.0,55600.0
2025-02-11,55500.0,56300.0,55000.0,55700.0
2025-02-12,55100.0,55900.0,54500.0,55800.0
2025-02-13,56100.0,56400.0,55600.0,55800.0
2025-02-14,56000.0,57300.0,56000.0,56000.0
2025-02-17,56100.0,56500.0,55700.0,56000.0
2025-02-18,56200.0,57200.0,55900.0,56900.0
2025-02-19,57400.0,58900.0,57300.0,58700.0
2025-02-20,59100.0,59100.0,58100.0,58400.0
2025-02-21,58400.0,58500.0,57100.0,58200.0
2025-02-24,57300.0,57700.0,57200.0,57300.0
2025-02-25,56600.0,57800.0,56500.0,57200.0
2025-02-26,57000.0,57100.0,56100.0,56600.0
2025-02-27,56500.0,57100.0,56200.0,56300.0
2025-02-28,55400.0,55700.0,54500.0,54500.0
2025-03-04,53900.0,55000.0,53800.0,54500.0
2025-03-05,55100.0,55400.0,54000.0,54000.0
2025-03-06,54100.0,54500.0,54000.0,54300.0
2025-03-07,53500.0,54200.0,53400.0,53700.0
2025-03-10,53500.0,54800.0,53500.0,53700.0
2025-03-11,52500.0,54100.0,52500.0,53600.0
2025-03-12,53800.0,55300.0,53600.0,54900.0
2025-03-13,55800.0,55900.0,54200.0,54700.0
2025-03-14,54500.0,55100.0,54400.0,54700.0
2025-03-17,55500.0,57800.0,55400.0,57600.0
2025-03-18,58800.0,59000.0,57300.0,57600.0
2025-03-19,57400.0,59200.0,57400.0,58500.0
2025-03-20,59200.0,60300.0,58500.0,60200.0
2025-03-21,60900.0,61700.0,60400.0,61700.0
2025-03-24,61200.0,61600.0,60500.0,60500.0
2025-03-25,60900.0,61100.0,59500.0,59800.0
2025-03-26,59800.0,61400.0,59700.0,61400.0
2025-03-27,60900.0,62000.0,60800.0,61800.0
2025-03-28,60700.0,61100.0,60000.0,60200.0
2025-03-31,59500.0,59700.0,57800.0,57800.0
2025-04-01,58700.0,59600.0,57900.0,58800.0
2025-04-02,58800.0,59400.0,58300.0,58800.0
2025-04-03,56900.0,57800.0,56900.0,57600.0
2025-04-04,56200.0,58200.0,55700.0,56100.0
